,Date,Résidus
3170,2021-01-04,11279.227769332094
3171,2021-01-05,11277.974019625355
3172,2021-01-06,11145.449673130453
3173,2021-01-07,12066.905480022135
3174,2021-01-08,12729.140729478924
3175,2021-01-09,11932.406041849768
3176,2021-01-10,12911.628181011605
3177,2021-01-11,12977.700152002799
3178,2021-01-12,7948.901314452873
3179,2021-01-13,2197.9019041021966
3180,2021-01-14,271.42733321159903
3181,2021-01-15,4524.713154060955
3182,2021-01-16,8513.404871509498
3183,2021-01-17,4490.780075036542
3184,2021-01-18,5592.036173691784
3185,2021-01-19,4456.708480496614
3186,2021-01-20,-2234.3269478255097
3187,2021-01-21,-4571.190333935927
3188,2021-01-22,-2923.5441731382743
3189,2021-01-23,-237.69400504985242
3190,2021-01-24,3405.633509815336
3191,2021-01-25,3947.5784923470055
3192,2021-01-26,5939.566470213918
3193,2021-01-27,1747.3121271496784
3194,2021-01-28,-7115.51644969183
3195,2021-01-29,-10106.84214194883
3196,2021-01-30,-7807.277612869104
3197,2021-01-31,-5681.901102436401
3198,2021-02-01,-6912.965938512105
3199,2021-02-02,-11290.479039465485
3200,2021-02-03,-10140.194029137783
3201,2021-02-04,-9449.943613513213
3202,2021-02-05,-9920.180361944876
3203,2021-02-06,-8498.071740670915
3204,2021-02-07,-1645.271968314104
3205,2021-02-08,2396.3725438571564
3206,2021-02-09,4140.248861493776
3207,2021-02-10,5606.988655126363
3208,2021-02-11,7533.140106141218
3209,2021-02-12,9160.631416726668
3210,2021-02-13,9856.680044891342
3211,2021-02-14,8937.025063966634
3212,2021-02-15,3615.2258534104767
3213,2021-02-16,-1847.9082141896506
3214,2021-02-17,-5986.3027701048995
3215,2021-02-18,-6033.94283844273
3216,2021-02-19,-6083.405817439008
3217,2021-02-20,-10311.948956710141
3218,2021-02-21,-9443.273954092147
3219,2021-02-22,-9730.225486412295
3220,2021-02-23,-11921.359028432867
3221,2021-02-24,-13172.923657130508
3222,2021-02-25,-12525.184564000621
3223,2021-02-26,-9572.954488017058
3224,2021-02-27,-6525.679982725647
3225,2021-02-28,-4672.205148395602
3226,2021-03-01,-3840.469648285405
3227,2021-03-02,-4894.076365359215
3228,2021-03-03,-6571.274396092311
3229,2021-03-04,-6006.282100916898
3230,2021-03-05,-2427.819418217201
3231,2021-03-06,-1028.1953470990047
3232,2021-03-07,1043.926780863454
3233,2021-03-08,1638.829434947198
3234,2021-03-09,3398.1710827077914
3235,2021-03-10,2064.0007724103198
3236,2021-03-11,-2515.567599532398
3237,2021-03-12,-1803.890521599038
3238,2021-03-13,-295.8854827703908
3239,2021-03-14,2281.2004337442268
3240,2021-03-15,1348.0871987086139
3241,2021-03-16,660.8884131733357
3242,2021-03-17,2314.1221618777054
3243,2021-03-18,3499.381472548368
3244,2021-03-19,4852.7952249227965
3245,2021-03-20,4864.933657001588
3246,2021-03-21,6354.035902648138
3247,2021-03-22,4371.302810081936
3248,2021-03-23,4617.3197565723385
3249,2021-03-24,1701.0638368320942
3250,2021-03-25,-1803.4292183688522
3251,2021-03-26,-1426.6075228492118
3252,2021-03-27,-1331.5007419429676
3253,2021-03-28,-304.49556752177887
3254,2021-03-29,-1470.0456890859496
3255,2021-03-30,-5681.251524890336
3256,2021-03-31,-8824.855316783942
3257,2021-04-01,-9229.576215467248
3258,2021-04-02,-8926.65447103887
3259,2021-04-03,-3978.9505435197498
3260,2021-04-04,-2652.721665201927
3261,2021-04-05,-7345.3325752624805
3262,2021-04-06,3779.1643144332847
3263,2021-04-07,8266.033721178566
3264,2021-04-08,7429.522634196175
3265,2021-04-09,3755.3166809047034
3266,2021-04-10,1752.4418969200196
3267,2021-04-11,4708.489360401902
3268,2021-04-12,6183.905960350065
3269,2021-04-13,6325.416027636282
3270,2021-04-14,5348.028213085156
3271,2021-04-15,5805.702969225102
3272,2021-04-16,6847.81149963053
3273,2021-04-17,6083.040335591555
3274,2021-04-18,4273.6189785204115
3275,2021-04-19,2839.61385397095
3276,2021-04-20,-32.64671901519614
3277,2021-04-21,-1920.5621851520264
3278,2021-04-22,-2439.5887073031336
